OBJECTID,CSA2010,mhhi10,mhhi11,mhhi12,mhhi13,mhhi14,mhhi15,mhhi16,mhhi17,mhhi18,mhhi19,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,33563.12,33504.324120603,33177.6589147287,38129.0733082707,35958.2533512064,36701.906741573,37302.1710526316,39495.6284722222,38535.5621761658,43019.75792,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,50780.92,50439.7395128552,50135.1216216216,49807.8617647059,52622.6885245902,51537.5820754717,53565.0796979866,57572.5027472527,58055.3066132264,55017.77971,47882527.7110596,37524.9505334171
3,Belair-Edison,42920.83,45149.3725099602,46743.2818471338,43903.9013377926,38905.9241982507,38173.9682539683,40482.3596491228,39624.4820846905,42633.6195121951,46703.93468,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,32888.5,33644.0521885522,33526.3646496815,34419.9652509653,35861.8965517241,36679.0534351145,38603.9302325581,40275.2753303964,39936.5125,39162.13858,176077742.748718,150987.703638772
5,Canton,74685.14,82129.5691747573,84978.1416309013,90862.7129237288,91735.6527355623,95362.400309119,103281.832191781,111891.251824817,116911.088235294,128460.4821,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,38969.08,39144.1096625767,39556.1150712831,38117.9329896907,39306.1430700447,39300.3550347222,39807.0321316614,41625.5916870415,44159.5452830188,47258.03394,71541340.3063965,39962.5498347165
7,Cherry Hill,18602.22,21038.2538461538,22980.5358490566,23918.7076271186,22658.5590909091,22403.3653846154,23585.1414141414,24250.9744525547,25132.3264705882,26654.08088,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,44659.56,44853.3980582524,42852.9646464647,47600.4898989899,44252.6215277778,45454.4545454545,48622.4637681159,54249.575,55713.7142857142,57082.625,21022590.1307373,21705.411630344
9,Claremont/Armistead,33236.03,30918.4209302326,31970.5052910053,32827.8241525424,34034.1474164134,33179.5110294118,33108.2343173432,34792.619266055,34885.3863636363,35245.61561,61243774.4211426,40104.415980189
10,Clifton-Berea,26147.87,26431.6756329114,24883.9335038363,25586.8391304348,25737.9476190476,29364.2063492064,29828.5795454545,32288.6987951807,31291.1324503311,34652.24855,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,56275.65,52728.2217741935,55840.2230941704,54641.6410526316,54867.9342105263,55964.3157894737,58882.0904255319,56167.0479041916,55673.5898876404,58843.73705,38222018.3164673,26788.3018783838
12,Dickeyville/Franklintown,33707,33433,32487,31701,32768,35773.0412371134,39124.175,41463.1219512195,37847.5316455696,44530.34375,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,41474.06,37945.0630434783,36715.1380753138,36856.7714285714,36870.3155172414,38682.8915929204,44053.5932642487,43640.5760869565,45497.3494897959,49651.24348,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,33873.68,38145.6292517007,41365.8469945355,40685.8384146341,44819.3952095808,46132.8669064748,47654.8361581921,53762.8745583038,57516.7307692307,61734.57823,20736554.4064941,21565.859394559
15,Edmondson Village,40121.75,38078.2019704433,37537.5634517767,36245.3024911032,36647.7150837989,38042.3778280543,39102.0502392345,41642.113372093,43809.8105726872,43626.5067,23563061.0443115,21504.551357829
