OBJECTID,CSA2010,paa10,paa15,paa16,paa17,paa18,paa19,paa20,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,88.166738607634,86.865671641791,87.4098757952136,90.28458687,88.7134005588628,89.07257292,85.21041273,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,78.8649706457926,78.0781905332534,78.6629842079173,75.31924427,76.6720171214553,77.98957442,74.90689398,47882527.7110596,37524.9505334171
3,Belair-Edison,86.8913642627469,88.6953846153846,85.3239470230283,85.65017261,85.3290243494734,83.99701201,86.21146835,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,35.9053570174823,37.5974292356078,40.6475860075166,37.96124031,34.2339453218952,34.72124756,35.78158617,176077742.748718,150987.703638772
5,Canton,3.95061728395062,2.45983935742972,3.40992422390614,3.939466731,4.05154255978193,4.982422112,3.908241291,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,78.5371651738337,75.6044048774313,78.5224479234054,80.56640625,83.0253993410351,83.59613739,82.59630372,71541340.3063965,39962.5498347165
7,Cherry Hill,95.1353328456474,88.9240135815478,88.7899034892353,87.46901339,87.9676322270435,88.39212947,89.12753469,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,68.9659618359979,67.612065857469,68.9120397774358,68.82840237,68.8991806198788,67.09820387,67.41931015,21022590.1307373,21705.411630344
9,Claremont/Armistead,53.0555218077998,57.1051368218915,56.4284108788492,55.71413242,55.5706948957132,56.49274225,53.17740512,61243774.4211426,40104.415980189
10,Clifton-Berea,96.3034231314563,94.4847260192559,93.8361626979606,93.66406336,93.0483183325438,90.81392614,89.9036558,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,20.3544575725027,19.1352739726027,18.555792257401,19.93347772,21.6175922474841,20.65627079,22.90925604,38222018.3164673,26788.3018783838
12,Dickeyville/Franklintown,87.8078517434772,80.2704852824185,81.2798203760876,80.59501474,83.8919199792153,85.12269939,79.30283224,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,96.122518241982,93.0691385321881,95.4667112746738,95.95103578,95.1053229612796,93.82050025,90.93956518,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,37.0152032268073,31.2531709791984,29.7760838494521,29.02188887,32.6415910073497,37.73758029,37.82811177,20736554.4064941,21565.859394559
15,Edmondson Village,96.6962025316456,96.3702147525677,95.9209053600298,95.75980392,96.7200801201802,96.87034277,93.68391372,23563061.0443115,21504.551357829
16,Fells Point,7.78847217612568,5.38074260541221,5.40599455040872,5.578467549,5.42495479204339,6.281379003,6.551983456,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,94.8725758960301,95.0010986596352,94.4135229849516,95.0571091,93.7052154195011,93.32894242,89.83662211,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,63.0280273568459,61.8048329286623,63.1207371066172,63.06396883,63.5967955592001,64.93843163,57.03938746,46995477.4781494,48549.0046179293
19,Greater Charles Village/Barclay,34.7324751387957,32.0367238463397,33.7026945201332,33.44336451,33.6281609877715,32.54231052,30.3411237,27051213.4559937,26454.2692113332
20,Greater Govans,90.8529163935961,89.7138078424085,89.5431083922768,90.01398601,89.9981512294324,88.73895277,86.49014907,22698495.7178955,22982.125714974
21,Greater Mondawmin,96.1810770220983,94.3558810857389,94.1145559642669,94.00374079,94.2114460463084,93.66080319,87.4739523,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,7.90294157516606,6.86351706036745,6.75640693761325,5.993442623,6.13529805760214,6.779199564,8.787587533,56688145.1790161,39862.7497953118
23,Greater Rosemont,96.6145698115167,97.4409826626575,96.6129226326555,96.81231266,97.1993598536808,97.3168963,94.17179946,42204384.5406494,32559.0762211491
24,Greenmount East,95.8333333333333,94.6690937459368,94.1592920353982,93.97682414,93.9978847170809,94.06892867,93.21351546,19072287.8240967,20797.4734578598
25,Hamilton,56.4605445316105,62.7715577963965,63.139500297442,61.67604212,60.1466992665036,58.87864942,62.19029941,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,57.943406695025,58.4835630965005,55.8102627402575,52.09433298,55.7634879554051,56.02060528,44.10185001,10215859.0836182,18552.4075815937
27,Harford/Echodale,53.037591305897,54.2073396762634,52.3688877628579,57.18180692,57.1649548323227,57.52130419,58.79027356,65360039.1698608,40019.1854001996
28,Highlandtown,8.88275862068966,8.94787248597619,8.91034482758621,10.55460863,8.03164387235183,7.875799574,6.41723356,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,94.3253931757565,93.7742821946366,93.4605409410893,94.060981,92.7089880578252,92.52180041,89.49499254,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,11.4819136522754,12.8412841284128,13.5724852071006,13.88623151,11.5669386521607,12.30036855,10.77096006,24995836.2615967,43415.0595478862
31,Lauraville,57.9646378228632,55.8095860210664,53.2556995243562,53.94058434,56.2648724050217,56.68545291,59.31649594,49665744.2354736,34419.676527973
32,Loch Raven,87.5710273659461,90.0296150049358,88.5370858985635,87.02097738,85.5242084513983,86.56458227,87.04187557,44147812.3265381,29314.3346718286
33,Madison/East End,90.2583215524997,88.0899500277624,88.0789022298456,87.89258079,85.3155527988835,86.10156043,77.46594453,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,11.605705083966,10.734301727096,10.6562205466541,10.74268934,9.69641772920461,10.28999634,9.507697513,62441489.2398071,43152.625699222
35,Midtown,32.1171770972037,29.9594098318407,31.388267462093,30.89949847,30.7247865442639,34.03419886,29.89648517,23823949.9294434,25020.0969698082
